experiment,run,input_tokens,output_ceiling,actual_output_tokens,latency_seconds,generation_tokens_per_second,mean_cpu_normalized_percent,peak_cpu_normalized_percent,peak_rss_mib,min_host_available_mib,resource_samples
A_baseline,1,39,64,64,9.7468,6.5662,98.99,103.6,4523.7,10764.75,49
A_baseline,2,39,64,64,9.7432,6.5687,98.79,101.55,4523.8,10764.75,49
A_baseline,3,39,64,64,9.8762,6.4802,98.19,103.7,4523.85,10772.93,50
B_long_input,1,271,64,64,12.2117,5.2409,99.48,103.6,4646.86,10658.02,61
B_long_input,2,271,64,64,12.2733,5.2146,98.24,103.6,4659.02,10650.46,62
B_long_input,3,271,64,64,12.0414,5.315,99.67,103.6,4642.48,10666.09,60
C_long_output,1,39,128,128,19.0465,6.7204,99.66,103.7,4606.39,10704.98,95
C_long_output,2,39,128,128,19.0197,6.7299,99.64,103.65,4606.46,10704.98,95
C_long_output,3,39,128,128,19.0292,6.7265,99.65,108.58,4606.54,10704.98,95
D_combined,1,271,128,128,22.3534,5.7262,99.04,103.62,4665.11,10641.35,112
D_combined,2,271,128,128,22.3834,5.7185,99.42,103.62,4655.98,10654.93,112
D_combined,3,271,128,128,22.481,5.6937,99.72,103.58,4650.11,10659.79,112
